Rank, Name, Score
1, bbd, 146
2, blueherring, 135
3, logic-and-proofs, 132
4, lizzie-iii, 129
5, chess-bot, 121
6, remmato-iii, 116
7, kean-chess-engine, 113
8, git-gambit, 99
9, jykchess, 98
10, xplorers, 97
11, alabtros, 88
12, the-terminator, 83
13, chess-ai, 81
14, check-innit-mate, 72
15, caro_kaan_engine, 71
16, chess_and_the_city, 69
17, beatingthehorse, 54
18, blunder-ai, 48
19, shallowcyan, 21
19, jasio, 21
19, pawnstar, 21
19, michelangelo, 21
19, madeinromania, 21
19, knightmare, 21
19, awesome-chess-ai, 21
19, ashwathama, 21
