Rank, Name, Score
1, bbd, 141
2, blueherring, 137
3, remmato-iii, 134
4, logic-and-proofs, 132
5, shallowcyan, 128
6, knightmare, 120
7, caro_kaan_engine, 115
8, jykchess, 108
9, chess_and_the_city, 99
10, beatingthehorse, 96
11, xplorers, 93
12, check-innit-mate, 87
13, chess-ai, 78
14, lizzie-iii, 72
15, pawnstar, 33
15, michelangelo, 33
15, madeinromania, 33
15, the-terminator, 33
15, jasio, 33
15, kean-chess-engine, 33
15, alabtros, 33
15, git-gambit, 33
15, chess-bot, 33
15, blunder-ai, 33
15, awesome-chess-ai, 33
15, ashwathama, 33
