g1f3
g8f6
b1c3
h8g8
f3e5
b8a6
e5d7
e8d7
c3e4
f6e4
h1g1
g8h8
g2g3
d8e8
f1g2
e4c5
g1f1
c5d3
c2d3
h8g8
d1b3
e8d8
b3b5
d7e6
b5b7
c8b7
g2b7
a8b8
b7a6
g8h8
a6b5
b8b5
h2h3
h8g8
f2f3
d8a8
e2e3
g8h8
b2b3
a8e8
c1b2
h8g8
b2g7
g8g7
e1c1
e8c6
c1b2
b5b3
b2a1
c6c1
d1c1
