e2e3
d7d5
g1e2
d5d4
e3d4
g7g5
b1c3
a7a5
h2h3
h7h5
d2d3
h5h4
c1g5
e7e6
g5d8
e8d8
a2a3
f7f5
d1c1
b8d7
c1g5
d7f6
e2f4
g8e7
g5f6
h8h7
f6f8
d8d7
f1e2
e7c6
f4h5
c6d4
h5f6
d7c6
e2d1
d4c2
e1f1
c2e3
f2e3
e6e5
f6h7
e5e4
d1a4
b7b5
f8g8
e4d3
a4b5
c6b6
h7f6
c8b7
g8b3
d3d2
f1g1
d2d1q
a1d1
a8f8
b5c6
b6c6
b3e6
c6c5
b2b4
a5b4
e6e5
b7d5
e5d5
c5b6
d5e6
c7c6
c3d5
b6b7
d5b4
f8b8
d1d7
b7a8
e6c6
b8b7
c6b7
