Rank, Name, Score
1, bbd, 90
2, pawnstar, 81
3, lizzie-iii, 74
4, logic-and-proofs, 66
5, blueherring, 63
6, chess-bot, 60
7, blunder-ai, 39
8, shallowcyan, 38
9, remmato-iii, 37
10, caro_kaan_engine, 32
11, git-gambit, 25
12, knightmare, 22
13, chess_and_the_city, 17
14, jykchess, 13
15, check-innit-mate, 11
15, chess-ai, 11
