g1f3
d7d6
e2e4
c8d7
d2d4
g8f6
b1c3
d7c6
f1d3
f6h5
e1g1
e7e6
d4d5
e6d5
e4d5
f8e7
f3d4
h5f6
d5c6
b8c6
d3b5
e8g8
d4c6
b7c6
b5c6
a8b8
f1e1
b8b6
d1f3
d6d5
c3d5
f6d5
c6d5
g8h8
e1d1
e7c5
f3c3
c5f2
g1f2
d8f6
c3f6
b6f6
d5f3
f8e8
d1d7
f6d6
d7c7
a7a5
c7f7
h7h5
f3h5
d6d5
h5f3
d5c5
c2c3
c5c8
c1e3
c8b8
b2b3
h8g8
f7f5
b8c8
a1c1
g8h8
f5a5
h8g8
f3d5
g8h8
d5f7
g7g5
e3d4
h8h7
a5g5
e8e6
g5g7
h7h8
f7e6
c8f8
g7f7
h8g8
f7f5
g8h7
f5f8
h7h6
f8g8
h6h5
d4e3
h5h4
g8h8
