g1f3
b8c6
f3g5
a8b8
c2c4
h7h6
h2h4
g7g6
e2e4
b7b5
e4e5
a7a5
d1a4
d7d5
a2a3
c6d4
f2f3
h8h7
f3f4
g8f6
h1g1
b8b6
a4b5
d4b5
e5e6
c8b7
b2b4
c7c5
d2d3
f8g7
d3d4
b6c6
f4f5
d8b8
g1h1
b5c3
h1g1
c6c8
b4b5
f6e4
f1d3
c8c6
d3e4
c6b6
e1d2
e8f8
d4c5
b6d6
c5d6
b8a8
d2e1
g7h8
e1f2
b7a6
g1f1
h6g5
b5b6
c3b1
f5g6
f7g6
f1g1
a8c6
g1d1
a5a4
d1d3
d5d4
f2g3
h8f6
d3b3
h7f7
b3b4
f8g8
g3h2
a6b5
h4g5
b1a3
g5f6
f7h7
h2g1
h7f7
b6b7
g6g5
d6d7
g8h8
c1b2
a3c2
a1f1
d4d3
e4c6
f7h7
b2c3
d3d2
f1b1
g5g4
b4b3
a4b3
c3d2
e7f6
c4b5
h7h4
d2c3
h4h3
c3a1
c2a3
c6e4
h3f3
e4c6
f3h3
c6e4
h3e3
g2g3
e3e1
b1e1
a3c2
g1f2
c2b4
e4b1
b3b2
e1g1
b4c2
g1d1
c2d4
d1d2
b2a1q
b1f5
a1a8
b5b6
d4b3
d2a2
b3d2
a2c2
d2f1
c2d2
a8a3
d2b2
a3a6
b2b4
a6b6
f2e1
b6a5
e1d1
a5c7
b4g4
c7f4
d1e1
f1g3
f5e4
g3h1
e4g2
f4d4
e1f1
d4d2
g4b4
d2d3
f1e1
d3b3
b4b6
b3c2
g2f3
c2c5
f3d5
f6f5
d5a2
c5d4
b6b1
d4a4
e1f1
h8g7
b1b4
g7g8
b4b2
a4h4
f1e2
h4h3
b2d2
h3g4
e2e1
g4e4
e1d1
e4h4
a2b3
h4c4
d2d4
c4c2
b3c2
g8h8
c2b3
h1g3
d4d3
h8h7
d1c1
h7h8
d3d4
f5f4
b3a4
g3e4
c1b1
e4d2
b1b2
h8g8
d4c4
d2b3
c4c7
b3a1
b2a3
f4f3
a3b2
g8g7
b2a3
g7f8
a3b2
f3f2
b2a3
a1c2
a4c2
f2f1q
c7c6
f1c1
a3a2
c1b1
c2b1
f8g7
c6c8
g7h6
c8c1
h6g7
c1c4
g7h8
c4f4
h8g8
f4e4
g8h8
a2a3
h8g8
e4b4
g8h8
a3b3
h8g8
b3a2
g8h8
a2a3
h8g8
a3b3
g8f8
b3a2
f8g7
a2a3
g7h6
a3b3
h6h5
b3a2
h5g5
a2a3
g5h6
a3b3
h6g7
b3a2
g7h6
a2a3
