g1f3
d7d5
b1c3
f7f5
c3d5
a7a5
d5e7
g8e7
f3e5
b7b5
h2h3
h7h5
g2g3
b8c6
e5c6
e7c6
e2e3
b5b4
d1f3
c6e5
f3a8
c8e6
a8d8
e8f7
d8c7
f7e8
c7e5
a5a4
f1c4
f8e7
e5e6
h8h6
e6f6
g7f6
e1g1
e7c5
f1e1
c5a7
c4d3
a7c5
d3f5
c5a7
d2d3
a7c5
f5e4
c5a7
c1d2
a7c5
d2b4
c5b4
a1d1
b4e1
d1e1
e8d7
f2f3
d7c8
c2c3
c8d7
b2b3
a4b3
a2b3
d7c8
e1d1
c8c7
d1e1
c7b6
e1d1
b6a5
d1e1
a5b6
e1d1
b6a5
d1e1
a5b6
