Rank, Name, Score
1, bbd, 150
2, logic-and-proofs, 132
3, pawnstar, 130
4, shallowcyan, 125
5, lizzie-iii, 119
6, chess-bot, 107
7, ashwathama, 102
8, caro_kaan_engine, 101
9, beatingthehorse, 91
10, remmato-iii, 89
11, blueherring, 75
12, xplorers, 70
13, knightmare, 66
14, git-gambit, 64
15, the-terminator, 60
16, awesome-chess-ai, 58
17, madeinromania, 57
18, chess_and_the_city, 55
19, kean-chess-engine, 48
20, check-innit-mate, 46
21, chess-ai, 44
22, jasio, 12
22, jykchess, 12
22, michelangelo, 12
22, blunder-ai, 12
22, alabtros, 12
