Rank, Name, Score
1, shallowcyan, 42
2, logic-and-proofs, 39
3, blueherring, 34
4, bbd, 32
5, remmato-iii, 22
6, the-terminator, 9
7, git-gambit, 7
7, lizzie-iii, 7
7, knightmare, 7
